"Path","Tier","Type","Domain","TotalScore","CoreScore","RecommendedScore","QualityScore","StructureScore"
"docs\reports\retrospectives\v9-current-state-review.md","reference","reports","project","85.8","30","18.8","23","14"
"docs\reference\v9-indexeddb-store-schema.md","reference","reference","data","85.7","30","16.7","23","16"
"docs\reference\ui-remediation-tracker.md","reference","reference","frontend","85.7","30","16.7","23","16"
"docs\00-meta\README.md","reference","meta","project","85.7","30","16.7","23","16"
"docs\architecture\adr\README.md","reference","explanation","architecture","85.7","30","16.7","19","20"
"docs\04-testing\hardcode-cleanup-plan.md","reference","reference","qa","85.7","30","16.7","19","20"
"docs\reports\README.md","reference","reports","project","85.7","30","16.7","23","16"
"docs\explanation\design\doc-sync-execution-plan.md","","explanation","project","85.2","25.7","22.5","23","14"
"docs\drafts\complete-api-doc.md","standard","reference","project","85","30","20","19","16"
"docs\design\design-system-audit-report.md","standard","reports","frontend","85","30","20","16","19"
"docs\reference\meta\doc-trigger-action-map.md","standard","meta","project","85","30","20","19","16"
"docs\assets\articles\publish-ready.md","standard","reference","project","85","30","20","19","16"
"docs\ops\deployment.md","standard","reference","project","85","30","20","16","19"
"docs\reference\文件整理清单.md","important","reference","project","84.8","30","20.8","18","16"
"docs\reference\05-engine-specs.md","important","reference","backend","84.8","30","20.8","18","16"
"docs\00-meta\GOVERNANCE.md","important","meta","project","84.8","30","20.8","18","16"
"docs\reference\07-operation-strategy.md","important","reference","backend","84.8","30","20.8","18","16"
"docs\reports\audit\quality-audit-plan.md","reference","reports","qa","84.8","30","18.8","22","14"
"docs\01-product\README.md","reference","reference","product","84.7","30","16.7","19","19"
"docs\reference\meta\registry-index.md","reference","meta","project","84.7","30","16.7","19","19"
"docs\registry-index.md","reference","reference","project","84.7","30","16.7","19","19"
"docs\architecture\api-contracts.md","standard","explanation","architecture","84","30","20","14","20"
"docs\reference\09-quality-gates.md","standard","reference","qa","84","30","20","18","16"
"docs\architecture\overview.md","standard","explanation","architecture","84","30","20","14","20"
"docs\architecture\cabins-overview.md","standard","explanation","architecture","84","30","20","14","20"
"docs\reference\10-glossary.md","standard","reference","project","84","30","20","18","16"
"docs\reference\踩坑规则门禁指南.md","standard","reference","project","84","30","20","18","16"
"docs\00-meta\P1-secondary-verification-report.md","standard","meta","project","84","30","20","18","16"
"docs\00-meta\deprecated-docs\old-versions\regression-suite-v1.0.0.md","standard","meta","project","84","30","20","18","16"
"docs\reports\changelogs\2026-07-08-document-update-report.md","standard","reports","project","84","30","20","18","16"
"docs\architecture\security-model.md","standard","explanation","architecture","84","30","20","14","20"
"docs\design\song-aesthetics.md","standard","explanation","project","84","30","20","14","20"
"docs\00-meta\文档整理待办清单.md","standard","meta","project","84","30","20","18","16"
"docs\design\a11y-i18n.md","standard","explanation","frontend","84","30","20","14","20"
"docs\reports\changelogs\changelog-2026-07-04t06-45-59.md","standard","reports","project","84","30","20","18","16"
"docs\reports\changelogs\2026-07-09-update-log.md","standard","reports","project","84","30","20","18","16"
"docs\reports\changelogs\monthly-2026-07.md","standard","reports","project","84","30","20","18","16"
"docs\explanation\v9-issue-management.md","important","explanation","project","83.9","30","22.9","20","11"
"docs\reports\retrospectives\health-report.md","reference","reports","project","83.8","30","18.8","21","14"
"docs\reports\retrospectives\timeline-report.md","reference","reports","project","83.8","30","18.8","21","14"
"docs\reference\stock-analysis-contract.md","important","reference","project","83.7","30","16.7","19","18"
"docs\reference\v6pro-to-v9-migration-analysis.md","","reference","project","83.2","25.7","22.5","21","14"
"docs\explanation\design\trading-core-factors.md","","explanation","backend","83.2","25.7","22.5","21","14"
"docs\team-handbook\03-ui-components.md","standard","reference","frontend","83","30","20","17","16"
"docs\guides\how-to-add-widget.md","standard","reference","frontend","83","30","20","17","16"
"docs\prompts\service-integration-guide.md","standard","reference","backend","83","30","20","17","16"
"docs\prompts\autonomous-workflow-user-guide.md","standard","reference","ai","83","30","20","17","16"
"docs\guides\how-to-add-store.md","standard","reference","data","83","30","20","17","16"
"docs\guides\how-to-add-service.md","standard","reference","backend","83","30","20","17","16"
"docs\prompts\autonomous-workflow-optimization.md","standard","reference","ai","83","30","20","17","16"
"docs\prompts\store-integration-guide.md","standard","reference","data","83","30","20","17","16"
"docs\reference\meta\file-system-assessment-v2.md","standard","meta","project","83","30","20","17","16"
"docs\ai\service-integration-guide.md","standard","reference","backend","83","30","20","17","16"
"docs\assets\articles\02-experience-five-pitfalls.md","standard","reference","project","83","30","20","17","16"
"docs\guides\getting-started.md","standard","reference","project","83","30","20","17","16"
"docs\team-handbook\04-model-runtime.md","standard","reference","ai","83","30","20","17","16"
"docs\reports\audit\2026-07-08-undocumented-files-jsdoc-templates.md","quick-note","reports","qa","83","30","15","19","19"
"docs\reports\retrospectives\freshness-alerts.md","reference","reports","project","82.8","30","18.8","20","14"
"docs\reports\retrospectives\batch-merge-reports.md","reference","reports","project","82.8","30","18.8","20","14"
"docs\prompts\README.md","important","reference","ai","82.8","30","20.8","16","16"
"docs\reports\retrospectives\v9-data-blueprint-task-tracking.md","reference","reports","data","82.8","30","18.8","20","14"
"docs\reports\retrospectives\doc-sync-execution-plan.md","reference","reports","project","82.8","30","18.8","20","14"
"docs\explanation\v9-架构缺陷与整改行动清单.md","","explanation","project","82.7","25.7","20","23","14"
"docs\explanation\design\v6pro-v9-gap-analysis-final.md","","explanation","project","82.7","25.7","20","23","14"
"docs\modules\README.md","reference","reference","project","81.7","30","16.7","19","16"
"docs\drafts\README.md","reference","reference","project","81.7","30","16.7","19","16"
"docs\06-project-management\README.md","reference","reference","project","81.7","30","16.7","19","16"
"docs\team-handbook\README.md","reference","reference","project","81.7","30","16.7","19","16"
"docs\explanation\V9-体系化上线测试-TODO-LIST.md","quick-note","explanation","project","81","30","15","17","19"
"docs\reports\audit\v9-架构缺陷与整改行动清单.md","reference","reports","qa","80.8","30","18.8","18","14"
"docs\reports\retrospectives\project-development-journey.md","reference","reports","project","80.8","30","18.8","18","14"
"docs\explanation\design\completeness-profile-batch4.md","","explanation","project","80.7","25.7","20","21","14"
"docs\reports\audit\report-6-remediation-action-list.md","reference","reports","qa","80.7","30","16.7","20","14"
"docs\explanation\v6-v9-architecture-audit-action-list.md","reference","explanation","architecture","80.7","30","16.7","23","11"
"docs\standards\quality-gates.md","standard","reference","qa","80","30","20","14","16"
"docs\standards\coding-conventions.md","standard","reference","project","80","30","20","14","16"
"docs\ai\store-integration-guide.md","standard","reference","data","80","30","20","14","16"
"docs\ops\runbook.md","standard","reference","project","80","30","20","14","16"
"docs\modules\data-layer-overview.md","standard","reference","data","80","30","20","14","16"
"docs\reference\stockpool-contract.md","important","reference","project","79.7","30","16.7","17","16"
"docs\ai\README.md","reference","reference","ai","79.7","30","16.7","17","16"
"docs\README.md","reference","reference","project","79.7","30","16.7","17","16"
"docs\explanation\task-graph-template.md","quick-note","explanation","project","79","30","15","15","19"
"docs\reports\audit\code-review-wip-2026-07-11.md","quick-note","reports","qa","79","30","15","15","19"
"docs\reports\retrospectives\2026-07-09-p0-todo-list.md","quick-note","reports","project","79","30","15","15","19"
"docs\00-meta\v9-next-phase-todo.md","quick-note","meta","project","78","30","15","17","16"
"docs\explanation\design\v9-documentation-audit-report.md","","explanation","qa","76.2","25.7","17.5","19","14"
"docs\reference\_contract-template.md","quick-note","reference","project","76","30","15","15","16"
"docs\00-meta\p1-debt-cleanup-todo.md","quick-note","meta","project","76","30","15","15","16"
"docs\reference\templates\task-graph-template.md","quick-note","reference","project","76","30","15","15","16"
"docs\01-p1-debt-cleanup-todo.md","quick-note","reference","product","75","30","15","11","19"
"docs\explanation\design\v9-architecture-rectification-strategy.md","","explanation","architecture","73.7","25.7","15","19","14"
"docs\explanation\design\v6-v9-architecture-audit-action-list.md","","explanation","architecture","71.7","25.7","15","17","14"
"docs\00-meta\ai-index\.ai-index\README.md","","","","12.3","4.3","0","0","8"
