"ArchiveID","Title","OriginalPath","ArchivePath","ArchiveLevel","ArchiveDate","ArchiveReason","SupersededBy","Domain","FinalVersion","FileSize"
"V9-ARCH-0028","next-phase-architecture-optimization-plan-2026-08-10-v2","docs/archive/historical-2026-08-16/batch6/docs/reports/governance/next-phase-architecture-optimization-plan-2026-08-10-v2.md","docs/archive/important/next-phase-architecture-optimization-plan-2026-08-10-v2.md","A","2026-08-17","Important historical document","","reports","N/A","11687"
"V9-ARCH-0029","adr-003-databridge-over-direct-datalayer","docs/archive/historical-2026-08-16/batch7/docs/reference/adr-003-databridge-over-direct-datalayer.md","docs/archive/important/reference/adr-003-databridge-over-direct-datalayer.md","A","2026-08-17","Important historical document","","reference","N/A","9618"
"V9-ARCH-0030","adr-010-profile-evidence-chain","docs/archive/historical-2026-08-16/batch7/docs/reference/adr-010-profile-evidence-chain.md","docs/archive/important/reference/adr-010-profile-evidence-chain.md","A","2026-08-17","Important historical document","","reference","N/A","21160"
"V9-ARCH-0031","adr-016-useStockAdd-hook-errorboundary-safety","docs/archive/historical-2026-08-16/batch7/docs/reference/adr-016-useStockAdd-hook-errorboundary-safety.md","docs/archive/important/reference/adr-016-useStockAdd-hook-errorboundary-safety.md","A","2026-08-17","Important historical document","","reference","N/A","10626"
"V9-ARCH-0032","adr-mcp-server-lifecycle","docs/archive/historical-2026-08-16/batch7/docs/reference/adr-mcp-server-lifecycle.md","docs/archive/important/reference/adr-mcp-server-lifecycle.md","A","2026-08-17","Important historical document","","reference","N/A","10463"
"V9-ARCH-0033","feedback-loop-spec","docs/archive/historical-2026-08-16/batch7/docs/reference/feedback-loop-spec.md","docs/archive/important/reference/feedback-loop-spec.md","A","2026-08-17","Important historical document","","reference","N/A","7022"
"V9-ARCH-0034","gateway-write-permission-spec","docs/archive/historical-2026-08-16/batch7/docs/reference/gateway-write-permission-spec.md","docs/archive/important/reference/gateway-write-permission-spec.md","A","2026-08-17","Important historical document","","reference","N/A","12790"
"V9-ARCH-0035","input-cabin-spec","docs/archive/historical-2026-08-16/batch7/docs/reference/input-cabin-spec.md","docs/archive/important/reference/input-cabin-spec.md","A","2026-08-17","Important historical document","","reference","N/A","9463"
"V9-ARCH-0036","stock-analysis-contract","docs/archive/historical-2026-08-16/batch7/docs/reference/stock-analysis-contract.md","docs/archive/important/reference/stock-analysis-contract.md","A","2026-08-17","Important historical document","","reference","N/A","11061"
"V9-ARCH-0037","stockpool-contract","docs/archive/historical-2026-08-16/batch7/docs/reference/stockpool-contract.md","docs/archive/important/reference/stockpool-contract.md","A","2026-08-17","Important historical document","","reference","N/A","8979"
